id|district
NL010|KIPHERE
BR016|KISHANGANJ
JK016|KISHTWAR
KA017|KODAGU
JH012|KODERMA
NL001|KOHIMA
AS015|KOKRAJHAR
KA018|KOLAR
MZ006|KOLASIB
MH015|KOLHAPUR
WB004|KOLKATA
KL006|KOLLAM
TG012|KOMRAM BHEEM ASIFABA
AP028|KONASEEMA
CT020|KONDAGAON
KA019|KOPPAL
OR019|KORAPUT
CT010|KORBA
CT011|KORIA
RJ024|KOTA
KL007|KOTTAYAM
KL008|KOZHIKODE
AP009|KRISHNA
TN033|KRISHNAGIRI
JK021|KULGAM
HP006|KULLU
JK010|KUPWARA
AP010|KURNOOL
HR013|KURUKSHETRA
AR015|KURUNG KUMEY
UP043|KUSHINAGAR
GJ012|KUTCH
AS027|Kamrup Metro
CT032|KhairaChukadanGandai
HP007|LAHUL &amp; SPITI
AS016|LAKHIMPUR
UP044|LAKHIMPUR
LK001|LAKSHADWEEP
UP045|LALITPUR
JH019|LATEHAR
MH016|LATUR
MZ004|LAWNGTLAI
LD002|LEH
AR022|LEPARADA
JH013|LOHARDAGA
AR005|LOHIT
AR017|LONGDING
NL009|LONGLENG
AR012|LOWER DIBANG VALLEY
AR021|LOWER SIANG
AR006|LOWER SUBANSIRI
BR017|LUCKEESARAI
UP046|LUCKNOW
PB010|LUDHIANA
MZ003|LUNGLEI
BR018|MADHEPURA
BR019|MADHUBANI
TN010|MADURAI
TG019|MAHABUBABAD
UP047|MAHARAJGANJ
CT012|MAHASAMUND
PY001|MAHE
HR018|MAHENDRAGARH
GJ031|MAHISAGAR
UP048|MAHOBA
UP049|MAINPURI
AS035|MAJULI
KL009|MALAPPURAM
WB011|MALDA
PB023|MALERKOTLA
OR020|MALKANGIRI
MZ005|MAMIT
TG030|MANCHERIAL
HP008|MANDI
MP022|MANDLA
MP023|MANDSAUR
KA020|MANDYA
SK002|MANGAN
PB011|MANSA
UP050|MATHURA
UP051|MAUNATHBHANJAN
TN047|MAYILADUTHURAI
OR021|MAYURBHANJ
TG004|MEDAK
TG029|MEDCHAL MALKAJGIRI
UP052|MEERUT
TG005|MEHABUBNAGAR
GJ013|MEHSANA
HR021|MEWAT
UP053|MIRZAPUR
PB012|MOGA
NL002|MOKOKCHUNG
NL003|MON
UP054|MORADABAD
GJ032|MORBI
MP024|MORENA
AS017|MORIGAON
PB013|MUKTSAR
TG032|MULUGU
MH036|MUMBAI CITY
CT025|MUNGELI
BR020|MUNGER
WB013|MURSHIDABAD
